ApostleStrength,DrillStrength(%),liquidity,CostOfGold,YielfOfGold,CostOfRing,DailyROI(%),WeeklyROI(%),YearlyROI(%)
1.1649,6,50,28.87,0.07,86.6,0.12,0.85,44.19
1.1649,6,60,34.64,0.07,103.92,0.1,0.71,36.82
1.1649,6,70,40.41,0.07,121.24,0.09,0.61,31.56
1.1649,6,80,46.19,0.07,138.56,0.08,0.53,27.62
1.1649,6,90,51.96,0.07,155.88,0.07,0.47,24.55
1.1649,6,100,57.74,0.07,173.21,0.06,0.42,22.09
1.1649,6,110,63.51,0.07,190.53,0.06,0.39,20.08
1.1649,6,120,69.28,0.07,207.85,0.05,0.35,18.41
1.1649,6,130,75.06,0.07,225.17,0.05,0.33,16.99
1.1649,6,140,80.83,0.07,242.49,0.04,0.3,15.78
1.1649,6,150,86.6,0.07,259.81,0.04,0.28,14.73
1.1649,6,160,92.38,0.07,277.13,0.04,0.26,13.81
1.1649,6,170,98.15,0.07,294.45,0.04,0.25,13.0
1.1649,6,180,103.92,0.07,311.77,0.03,0.24,12.27
1.1649,6,190,109.7,0.07,329.09,0.03,0.22,11.63
1.1649,6,200,115.47,0.07,346.41,0.03,0.21,11.05
1.1649,6,210,121.24,0.07,363.73,0.03,0.2,10.52
1.1649,6,220,127.02,0.07,381.05,0.03,0.19,10.04
1.1649,6,230,132.79,0.07,398.37,0.03,0.18,9.61
1.1649,6,240,138.56,0.07,415.69,0.03,0.18,9.21
1.1649,6,250,144.34,0.07,433.01,0.02,0.17,8.84
1.1649,6,260,150.11,0.07,450.33,0.02,0.16,8.5
1.1649,6,270,155.88,0.07,467.65,0.02,0.16,8.18
1.1649,6,280,161.66,0.07,484.97,0.02,0.15,7.89
1.1649,6,290,167.43,0.07,502.29,0.02,0.15,7.62
1.1649,6,300,173.21,0.07,519.62,0.02,0.14,7.36
1.1649,6,310,178.98,0.07,536.94,0.02,0.14,7.13
1.1649,6,320,184.75,0.07,554.26,0.02,0.13,6.9
1.1649,6,330,190.53,0.07,571.58,0.02,0.13,6.69
1.1649,6,340,196.3,0.07,588.9,0.02,0.12,6.5
1.1649,6,350,202.07,0.07,606.22,0.02,0.12,6.31
1.1649,6,360,207.85,0.07,623.54,0.02,0.12,6.14
1.1649,6,370,213.62,0.07,640.86,0.02,0.11,5.97
1.1649,6,380,219.39,0.07,658.18,0.02,0.11,5.81
1.1649,6,390,225.17,0.07,675.5,0.02,0.11,5.66
1.1649,6,400,230.94,0.07,692.82,0.02,0.11,5.52
1.1649,6,410,236.71,0.07,710.14,0.01,0.1,5.39
1.1649,6,420,242.49,0.07,727.46,0.01,0.1,5.26
1.1649,6,430,248.26,0.07,744.78,0.01,0.1,5.14
1.1649,6,440,254.03,0.07,762.1,0.01,0.1,5.02
1.1649,6,450,259.81,0.07,779.42,0.01,0.09,4.91
1.1649,6,460,265.58,0.07,796.74,0.01,0.09,4.8
1.1649,6,470,271.35,0.07,814.06,0.01,0.09,4.7
1.1649,6,480,277.13,0.07,831.38,0.01,0.09,4.6
1.1649,6,490,282.9,0.07,848.7,0.01,0.09,4.51
1.1649,6,500,288.68,0.07,866.03,0.01,0.08,4.42
1.1649,6,510,294.45,0.07,883.35,0.01,0.08,4.33
1.1649,6,520,300.22,0.07,900.67,0.01,0.08,4.25
1.1649,6,530,306.0,0.07,917.99,0.01,0.08,4.17
1.1649,6,540,311.77,0.07,935.31,0.01,0.08,4.09
1.1649,7,50,28.87,0.08,86.6,0.14,0.99,51.55
1.1649,7,60,34.64,0.08,103.92,0.12,0.82,42.96
1.1649,7,70,40.41,0.08,121.24,0.1,0.71,36.82
1.1649,7,80,46.19,0.08,138.56,0.09,0.62,32.22
1.1649,7,90,51.96,0.08,155.88,0.08,0.55,28.64
1.1649,7,100,57.74,0.08,173.21,0.07,0.49,25.78
1.1649,7,110,63.51,0.08,190.53,0.06,0.45,23.43
1.1649,7,120,69.28,0.08,207.85,0.06,0.41,21.48
1.1649,7,130,75.06,0.08,225.17,0.05,0.38,19.83
1.1649,7,140,80.83,0.08,242.49,0.05,0.35,18.41
1.1649,7,150,86.6,0.08,259.81,0.05,0.33,17.18
1.1649,7,160,92.38,0.08,277.13,0.04,0.31,16.11
1.1649,7,170,98.15,0.08,294.45,0.04,0.29,15.16
1.1649,7,180,103.92,0.08,311.77,0.04,0.27,14.32
1.1649,7,190,109.7,0.08,329.09,0.04,0.26,13.57
1.1649,7,200,115.47,0.08,346.41,0.04,0.25,12.89
1.1649,7,210,121.24,0.08,363.73,0.03,0.24,12.27
1.1649,7,220,127.02,0.08,381.05,0.03,0.22,11.72
1.1649,7,230,132.79,0.08,398.37,0.03,0.21,11.21
1.1649,7,240,138.56,0.08,415.69,0.03,0.21,10.74
1.1649,7,250,144.34,0.08,433.01,0.03,0.2,10.31
1.1649,7,260,150.11,0.08,450.33,0.03,0.19,9.91
1.1649,7,270,155.88,0.08,467.65,0.03,0.18,9.55
1.1649,7,280,161.66,0.08,484.97,0.03,0.18,9.21
1.1649,7,290,167.43,0.08,502.29,0.02,0.17,8.89
1.1649,7,300,173.21,0.08,519.62,0.02,0.16,8.59
1.1649,7,310,178.98,0.08,536.94,0.02,0.16,8.31
1.1649,7,320,184.75,0.08,554.26,0.02,0.15,8.05
1.1649,7,330,190.53,0.08,571.58,0.02,0.15,7.81
1.1649,7,340,196.3,0.08,588.9,0.02,0.15,7.58
1.1649,7,350,202.07,0.08,606.22,0.02,0.14,7.36
1.1649,7,360,207.85,0.08,623.54,0.02,0.14,7.16
1.1649,7,370,213.62,0.08,640.86,0.02,0.13,6.97
1.1649,7,380,219.39,0.08,658.18,0.02,0.13,6.78
1.1649,7,390,225.17,0.08,675.5,0.02,0.13,6.61
1.1649,7,400,230.94,0.08,692.82,0.02,0.12,6.44
1.1649,7,410,236.71,0.08,710.14,0.02,0.12,6.29
1.1649,7,420,242.49,0.08,727.46,0.02,0.12,6.14
1.1649,7,430,248.26,0.08,744.78,0.02,0.11,5.99
1.1649,7,440,254.03,0.08,762.1,0.02,0.11,5.86
1.1649,7,450,259.81,0.08,779.42,0.02,0.11,5.73
1.1649,7,460,265.58,0.08,796.74,0.02,0.11,5.6
1.1649,7,470,271.35,0.08,814.06,0.02,0.11,5.48
1.1649,7,480,277.13,0.08,831.38,0.01,0.1,5.37
1.1649,7,490,282.9,0.08,848.7,0.01,0.1,5.26
1.1649,7,500,288.68,0.08,866.03,0.01,0.1,5.16
1.1649,7,510,294.45,0.08,883.35,0.01,0.1,5.05
1.1649,7,520,300.22,0.08,900.67,0.01,0.1,4.96
1.1649,7,530,306.0,0.08,917.99,0.01,0.09,4.86
1.1649,7,540,311.77,0.08,935.31,0.01,0.09,4.77
1.1649,8,50,28.87,0.09,86.6,0.16,1.13,58.92
1.1649,8,60,34.64,0.09,103.92,0.13,0.94,49.1
1.1649,8,70,40.41,0.09,121.24,0.12,0.81,42.08
1.1649,8,80,46.19,0.09,138.56,0.1,0.71,36.82
1.1649,8,90,51.96,0.09,155.88,0.09,0.63,32.73
1.1649,8,100,57.74,0.09,173.21,0.08,0.56,29.46
1.1649,8,110,63.51,0.09,190.53,0.07,0.51,26.78
1.1649,8,120,69.28,0.09,207.85,0.07,0.47,24.55
1.1649,8,130,75.06,0.09,225.17,0.06,0.43,22.66
1.1649,8,140,80.83,0.09,242.49,0.06,0.4,21.04
1.1649,8,150,86.6,0.09,259.81,0.05,0.38,19.64
1.1649,8,160,92.38,0.09,277.13,0.05,0.35,18.41
1.1649,8,170,98.15,0.09,294.45,0.05,0.33,17.33
1.1649,8,180,103.92,0.09,311.77,0.04,0.31,16.37
1.1649,8,190,109.7,0.09,329.09,0.04,0.3,15.5
1.1649,8,200,115.47,0.09,346.41,0.04,0.28,14.73
1.1649,8,210,121.24,0.09,363.73,0.04,0.27,14.03
1.1649,8,220,127.02,0.09,381.05,0.04,0.26,13.39
1.1649,8,230,132.79,0.09,398.37,0.04,0.25,12.81
1.1649,8,240,138.56,0.09,415.69,0.03,0.24,12.27
1.1649,8,250,144.34,0.09,433.01,0.03,0.23,11.78
1.1649,8,260,150.11,0.09,450.33,0.03,0.22,11.33
1.1649,8,270,155.88,0.09,467.65,0.03,0.21,10.91
1.1649,8,280,161.66,0.09,484.97,0.03,0.2,10.52
1.1649,8,290,167.43,0.09,502.29,0.03,0.19,10.16
1.1649,8,300,173.21,0.09,519.62,0.03,0.19,9.82
1.1649,8,310,178.98,0.09,536.94,0.03,0.18,9.5
1.1649,8,320,184.75,0.09,554.26,0.03,0.18,9.21
1.1649,8,330,190.53,0.09,571.58,0.02,0.17,8.93
1.1649,8,340,196.3,0.09,588.9,0.02,0.17,8.66
1.1649,8,350,202.07,0.09,606.22,0.02,0.16,8.42
1.1649,8,360,207.85,0.09,623.54,0.02,0.16,8.18
1.1649,8,370,213.62,0.09,640.86,0.02,0.15,7.96
1.1649,8,380,219.39,0.09,658.18,0.02,0.15,7.75
1.1649,8,390,225.17,0.09,675.5,0.02,0.14,7.55
1.1649,8,400,230.94,0.09,692.82,0.02,0.14,7.36
1.1649,8,410,236.71,0.09,710.14,0.02,0.14,7.18
1.1649,8,420,242.49,0.09,727.46,0.02,0.13,7.01
1.1649,8,430,248.26,0.09,744.78,0.02,0.13,6.85
1.1649,8,440,254.03,0.09,762.1,0.02,0.13,6.69
1.1649,8,450,259.81,0.09,779.42,0.02,0.13,6.55
1.1649,8,460,265.58,0.09,796.74,0.02,0.12,6.4
1.1649,8,470,271.35,0.09,814.06,0.02,0.12,6.27
1.1649,8,480,277.13,0.09,831.38,0.02,0.12,6.14
1.1649,8,490,282.9,0.09,848.7,0.02,0.12,6.01
1.1649,8,500,288.68,0.09,866.03,0.02,0.11,5.89
1.1649,8,510,294.45,0.09,883.35,0.02,0.11,5.78
1.1649,8,520,300.22,0.09,900.67,0.02,0.11,5.66
1.1649,8,530,306.0,0.09,917.99,0.02,0.11,5.56
1.1649,8,540,311.77,0.09,935.31,0.01,0.1,5.46
1.1649,9,50,28.87,0.1,86.6,0.18,1.27,66.28
1.1649,9,60,34.64,0.1,103.92,0.15,1.06,55.23
1.1649,9,70,40.41,0.1,121.24,0.13,0.91,47.34
1.1649,9,80,46.19,0.1,138.56,0.11,0.79,41.43
1.1649,9,90,51.96,0.1,155.88,0.1,0.71,36.82
1.1649,9,100,57.74,0.1,173.21,0.09,0.64,33.14
1.1649,9,110,63.51,0.1,190.53,0.08,0.58,30.13
1.1649,9,120,69.28,0.1,207.85,0.08,0.53,27.62
1.1649,9,130,75.06,0.1,225.17,0.07,0.49,25.49
1.1649,9,140,80.83,0.1,242.49,0.06,0.45,23.67
1.1649,9,150,86.6,0.1,259.81,0.06,0.42,22.09
1.1649,9,160,92.38,0.1,277.13,0.06,0.4,20.71
1.1649,9,170,98.15,0.1,294.45,0.05,0.37,19.49
1.1649,9,180,103.92,0.1,311.77,0.05,0.35,18.41
1.1649,9,190,109.7,0.1,329.09,0.05,0.33,17.44
1.1649,9,200,115.47,0.1,346.41,0.05,0.32,16.57
1.1649,9,210,121.24,0.1,363.73,0.04,0.3,15.78
1.1649,9,220,127.02,0.1,381.05,0.04,0.29,15.06
1.1649,9,230,132.79,0.1,398.37,0.04,0.28,14.41
1.1649,9,240,138.56,0.1,415.69,0.04,0.26,13.81
1.1649,9,250,144.34,0.1,433.01,0.04,0.25,13.26
1.1649,9,260,150.11,0.1,450.33,0.03,0.24,12.75
1.1649,9,270,155.88,0.1,467.65,0.03,0.24,12.27
1.1649,9,280,161.66,0.1,484.97,0.03,0.23,11.84
1.1649,9,290,167.43,0.1,502.29,0.03,0.22,11.43
1.1649,9,300,173.21,0.1,519.62,0.03,0.21,11.05
1.1649,9,310,178.98,0.1,536.94,0.03,0.21,10.69
1.1649,9,320,184.75,0.1,554.26,0.03,0.2,10.36
1.1649,9,330,190.53,0.1,571.58,0.03,0.19,10.04
