ApostleStrength,DrillStrength(%),LP_GOLD_RING,CostOfGold,CostOfRing,YielfOfGold,DailyROI(%),WeeklyROI(%),YearlyROI(%)
1.1649,6,50,28.87,86.6,0.07,0.12,0.85,44.19
1.1649,6,60,34.64,103.92,0.07,0.1,0.71,36.82
1.1649,6,70,40.41,121.24,0.07,0.09,0.61,31.56
1.1649,6,80,46.19,138.56,0.07,0.08,0.53,27.62
1.1649,6,90,51.96,155.88,0.07,0.07,0.47,24.55
1.1649,6,100,57.74,173.21,0.07,0.06,0.42,22.09
1.1649,6,110,63.51,190.53,0.07,0.06,0.39,20.08
1.1649,6,120,69.28,207.85,0.07,0.05,0.35,18.41
1.1649,6,130,75.06,225.17,0.07,0.05,0.33,16.99
1.1649,6,140,80.83,242.49,0.07,0.04,0.3,15.78
1.1649,6,150,86.6,259.81,0.07,0.04,0.28,14.73
1.1649,6,160,92.38,277.13,0.07,0.04,0.26,13.81
1.1649,6,170,98.15,294.45,0.07,0.04,0.25,13.0
1.1649,6,180,103.92,311.77,0.07,0.03,0.24,12.27
1.1649,6,190,109.7,329.09,0.07,0.03,0.22,11.63
1.1649,6,200,115.47,346.41,0.07,0.03,0.21,11.05
1.1649,6,210,121.24,363.73,0.07,0.03,0.2,10.52
1.1649,6,220,127.02,381.05,0.07,0.03,0.19,10.04
1.1649,6,230,132.79,398.37,0.07,0.03,0.18,9.61
1.1649,6,240,138.56,415.69,0.07,0.03,0.18,9.21
1.1649,6,250,144.34,433.01,0.07,0.02,0.17,8.84
1.1649,6,260,150.11,450.33,0.07,0.02,0.16,8.5
1.1649,6,270,155.88,467.65,0.07,0.02,0.16,8.18
1.1649,6,280,161.66,484.97,0.07,0.02,0.15,7.89
1.1649,6,290,167.43,502.29,0.07,0.02,0.15,7.62
1.1649,6,300,173.21,519.62,0.07,0.02,0.14,7.36
1.1649,6,310,178.98,536.94,0.07,0.02,0.14,7.13
1.1649,6,320,184.75,554.26,0.07,0.02,0.13,6.9
1.1649,6,330,190.53,571.58,0.07,0.02,0.13,6.69
1.1649,6,340,196.3,588.9,0.07,0.02,0.12,6.5
1.1649,6,350,202.07,606.22,0.07,0.02,0.12,6.31
1.1649,6,360,207.85,623.54,0.07,0.02,0.12,6.14
1.1649,6,370,213.62,640.86,0.07,0.02,0.11,5.97
1.1649,6,380,219.39,658.18,0.07,0.02,0.11,5.81
1.1649,6,390,225.17,675.5,0.07,0.02,0.11,5.66
1.1649,6,400,230.94,692.82,0.07,0.02,0.11,5.52
1.1649,6,410,236.71,710.14,0.07,0.01,0.1,5.39
1.1649,6,420,242.49,727.46,0.07,0.01,0.1,5.26
1.1649,6,430,248.26,744.78,0.07,0.01,0.1,5.14
1.1649,6,440,254.03,762.1,0.07,0.01,0.1,5.02
1.1649,6,450,259.81,779.42,0.07,0.01,0.09,4.91
1.1649,6,460,265.58,796.74,0.07,0.01,0.09,4.8
1.1649,6,470,271.35,814.06,0.07,0.01,0.09,4.7
1.1649,6,480,277.13,831.38,0.07,0.01,0.09,4.6
1.1649,6,490,282.9,848.7,0.07,0.01,0.09,4.51
1.1649,6,500,288.68,866.03,0.07,0.01,0.08,4.42
1.1649,6,510,294.45,883.35,0.07,0.01,0.08,4.33
